LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149927,FAIRBANKS,AK,99709,541110,Sole Proprietorship,Unanswered,Male Owned,Unanswered,,11,04/08/2020,Northrim Bank,AK - 00
149577,JUNEAU,AK,99801,238220,Corporation,Unanswered,Unanswered,Unanswered,,8,04/30/2020,Alaska USA FCU,AK - 00
149465,ANCHORAGE,AK,99501,813990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,16,05/13/2020,Denali State Bank,AK - 00
149300,ANCHORAGE,AK,99501,488190,Corporation,Unanswered,Unanswered,Unanswered,,12,04/09/2020,Alaska USA FCU,AK - 00
149000,KETCHIKAN,AK,99901,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,06/19/2020,First Bank,AK - 00
148967.48,ANCHORAGE,AK,99515,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,04/14/2020,First National Bank Alaska,AK - 00
148951.42,ANCHORAGE,AK,99503,721110,Corporation,Unanswered,Male Owned,Unanswered,,16,04/06/2020,Glacier Bank,AK - 00
148850,ANCHORAGE,AK,99501,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,04/27/2020,Northrim Bank,AK - 00
148830,FAIRBANKS,AK,99701,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,18,04/07/2020,Denali State Bank,AK - 00
148754.49,ANCHORAGE,AK,99501,453220,Corporation,Unanswered,Male Owned,Veteran,,11,04/13/2020,First National Bank Alaska,AK - 00
148742.27,ANCHORAGE,AK,99507,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,04/07/2020,Northrim Bank,AK - 00
148700,FAIRBANKS,AK,99701,611620,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20,05/03/2020,KeyBank National Association,AK - 00
148577,ANCHORAGE,AK,99501,721110,Corporation,Unanswered,Male Owned,Non-Veteran,,31,04/30/2020,United Business Bank,AK - 00
148428.65,ANCHORAGE,AK,99508,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,04/28/2020,First National Bank Alaska,AK - 00
148285.21,WASILLA,AK,99654,541618,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,8,04/15/2020,Northrim Bank,AK - 00
148264.45,KETCHIKAN,AK,99901,446110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/27/2020,First Bank,AK - 00
148196,SOLDOTNA,AK,99669,541330,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",AK - 00
148100,VALDEZ,AK,99686,721110,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,11,04/12/2020,First Republic Bank,AK - 00
148100,PALMER,AK,99645,713940,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,24,04/15/2020,Alaska USA FCU,AK - 00
148032.5,ANCHORAGE,AK,99501,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,12,04/27/2020,Northrim Bank,AK - 00
148016,JUNEAU,AK,99801,531110,Corporation,White,Male Owned,Non-Veteran,,6,04/29/2020,City National Bank,AK - 00
147948.3,WASILLA,AK,99654,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/14/2020,First National Bank Alaska,AK - 00
147504.82,ANCHORAGE,AK,99501,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/14/2020,Northrim Bank,AK - 00
