LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
142000,PAGO PAGO,AS,96799,236220,Corporation,Asian,Female Owned,Unanswered,,97,05/13/2020,Territorial Bank of American Samoa,AS - 00
135345,PAGO PAGO,AS,96799,561499,Corporation,Unanswered,Unanswered,Unanswered,,34,04/30/2020,"ANZ Guam, Inc",AS - 00
132388.27,PAGO PAGO,AS,96799,484110,Corporation,Unanswered,Male Owned,Unanswered,,41,05/29/2020,Territorial Bank of American Samoa,AS - 00
130000,PAGO PAGO,AS,96799,447110,Corporation,Unanswered,Male Owned,Unanswered,,44,06/30/2020,"ANZ Guam, Inc",AS - 00
125500,PAGO PAGO,AS,96799,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,30,06/23/2020,"ANZ Guam, Inc",AS - 00
105555,PAGO PAGO,AS,96799,722511,Corporation,Asian,Female Owned,Unanswered,,34,06/08/2020,Territorial Bank of American Samoa,AS - 00
105000,PAGO PAGO,AS,96799,722511,Corporation,Unanswered,Unanswered,Unanswered,,34,06/30/2020,"ANZ Guam, Inc",AS - 00
101167,PAGO PAGO,AS,96799,447190,Corporation,Unanswered,Unanswered,Unanswered,,33,04/29/2020,"ANZ Guam, Inc",AS - 00
87995,PAGO PAGO,AS,96799,424410,Corporation,Unanswered,Unanswered,Unanswered,,26,05/15/2020,"ANZ Guam, Inc",AS - 00
84965.05,PAGO PAGO,AS,96799,621492,Corporation,White,Male Owned,Unanswered,,10,05/18/2020,Territorial Bank of American Samoa,AS - 00
83035,PAGO PAGO,AS,96799,114119,Corporation,Unanswered,Unanswered,Unanswered,,20,05/03/2020,"ANZ Guam, Inc",AS - 00
82482.35,TEMPE,AS,96799,541211,Corporation,White,Male Owned,Non-Veteran,,9,05/21/2020,Territorial Bank of American Samoa,AS - 00
80280,PAGO PAGO,AS,96799,811212,Corporation,Unanswered,Unanswered,Unanswered,,19,05/08/2020,"ANZ Guam, Inc",AS - 00
78722.5,PAGO PAGO,AS,96799,445110,Corporation,Asian,Female Owned,Non-Veteran,,39,06/15/2020,Territorial Bank of American Samoa,AS - 00
78235,PAGO PAGO,AS,96799,424410,Corporation,Unanswered,Male Owned,Unanswered,,44,05/01/2020,"ANZ Guam, Inc",AS - 00
77292,PAGO PAGO,AS,96799,515112,Corporation,Unanswered,Unanswered,Unanswered,,12,04/30/2020,"ANZ Guam, Inc",AS - 00
73000,PAGO PAGO,AS,96799,924110,Corporation,Asian,Male Owned,Non-Veteran,,32,05/13/2020,Territorial Bank of American Samoa,AS - 00
72800,PAGO PAGO,AS,96799,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,21,04/30/2020,"ANZ Guam, Inc",AS - 00
71172,PAGO PAGO,AS,96799,238910,Corporation,Unanswered,Unanswered,Unanswered,,20,05/08/2020,"ANZ Guam, Inc",AS - 00
69070,PAGO PAGO,AS,96799,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,33,06/23/2020,"ANZ Guam, Inc",AS - 00
67932,PAGO PAGO,AS,96799,813319,Corporation,Unanswered,Male Owned,Unanswered,,24,04/30/2020,"ANZ Guam, Inc",AS - 00
67537,PAGO PAGO,AS,96799,424410,Corporation,Unanswered,Unanswered,Unanswered,,18,06/27/2020,"ANZ Guam, Inc",AS - 00
66470,PAGO PAGO,AS,96799,624410,Non-Profit Childcare Center,Asian,Female Owned,Unanswered,Y,33,05/20/2020,Territorial Bank of American Samoa,AS - 00
66127,PAGO PAGO,AS,96799,722511,Corporation,Unanswered,Male Owned,Unanswered,,22,04/28/2020,"ANZ Guam, Inc",AS - 00
65900,PAGO PAGO,AS,96799,812990,Corporation,Unanswered,Unanswered,Unanswered,,19,04/29/2020,"ANZ Guam, Inc",AS - 00
65870,PAGO PAGO,AS,96799,522291,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,7,04/29/2020,"ANZ Guam, Inc",AS - 00
59845,PAGO PAGO,AS,96799,488320,Corporation,Unanswered,Male Owned,Non-Veteran,,15,05/18/2020,Territorial Bank of American Samoa,AS - 00
58702,PAGO PAGO,AS,96799,624120,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,12,06/23/2020,"ANZ Guam, Inc",AS - 00
56737,PAGO PAGO,AS,96799,237310,Corporation,Unanswered,Unanswered,Unanswered,,18,04/30/2020,"ANZ Guam, Inc",AS - 00
55950,PAGO PAGO,AS,96799,452990,Corporation,Unanswered,Unanswered,Unanswered,,22,05/03/2020,"ANZ Guam, Inc",AS - 00
54725,PAGO PAGO,AS,96799,238220,Corporation,Unanswered,Unanswered,Unanswered,,14,06/23/2020,"ANZ Guam, Inc",AS - 00
54671.67,PAGO PAGO,AS,96799,424490,Corporation,Unanswered,Unanswered,Unanswered,,17,04/28/2020,Greater Nevada CU,AS - 00
54592,PAGO PAGO,AS,96799,323111,Corporation,Unanswered,Unanswered,Unanswered,,18,05/08/2020,"ANZ Guam, Inc",AS - 00
48603.54,PAGO PAGO,AS,96799,236115,Corporation,Asian,Male Owned,Unanswered,,48,05/22/2020,Territorial Bank of American Samoa,AS - 00
47235,PAGO PAGO,AS,96799,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,17,06/30/2020,"ANZ Guam, Inc",AS - 00
43750,PAGO PAGO,AS,96799,424720,Corporation,Unanswered,Male Owned,Unanswered,,10,04/29/2020,"ANZ Guam, Inc",AS - 00
