LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149917,MILLSBORO,DE,19966,115210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,04/15/2020,Manufacturers and Traders Trust Company,DE - 00
149600,DOVER,DE,19901,441310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38,04/10/2020,Truist Bank d/b/a Branch Banking & Trust Co,DE - 00
149600,BEAR,DE,19701,811111,Corporation,Unanswered,Unanswered,Unanswered,,10,05/03/2020,"PNC Bank, National Association",DE - 00
149300,HARBESON,DE,19951,541613,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,05/06/2020,"Citizens Bank, National Association",DE - 00
149300,WILMINGTON,DE,19807,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,05/03/2020,"PNC Bank, National Association",DE - 00
149271.8,WILMINGTON,DE,19808,812112,Subchapter S Corporation,White,Female Owned,Non-Veteran,,28,04/28/2020,"Wilmington Savings Fund Society, FSB",DE - 00
149130,WILMINGTON,DE,19805,624410,Corporation,Unanswered,Unanswered,Unanswered,,0,04/27/2020,"Wilmington Savings Fund Society, FSB",DE - 00
149047,MILFORD,DE,19963,425120,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,8,04/10/2020,"TD Bank, National Association",DE - 00
149000,WILMINGTON,DE,19805,541110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,6,04/07/2020,Mid Penn Bank,DE - 00
149000,WILMINGTON,DE,19807,611699,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,43,04/08/2020,Berkshire Bank,DE - 00
148901.79,WILMINGTON,DE,19802,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/27/2020,"Wilmington Savings Fund Society, FSB",DE - 00
148867.5,MILLVILLE,DE,19967,532284,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,12,04/08/2020,"Wilmington Savings Fund Society, FSB",DE - 00
148827.5,WILMINGTON,DE,19804,237990,Corporation,Unanswered,Unanswered,Unanswered,,14,04/07/2020,"Wilmington Savings Fund Society, FSB",DE - 00
148500,HARRINGTON,DE,19952,522298,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,04/08/2020,Shore United Bank,DE - 00
148479.6,NEWARK,DE,19702,813219,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,23,04/30/2020,"Grow America Fund, Incorporated",DE - 00
148300,LAUREL,DE,19956,454310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,16,04/28/2020,Manufacturers and Traders Trust Company,DE - 00
148275,NEWARK,DE,19702,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,04/10/2020,"Wilmington Savings Fund Society, FSB",DE - 00
148154,CLAYTON,DE,19938,236220,Corporation,Unanswered,Male Owned,Non-Veteran,,15,04/27/2020,Dover FCU,DE - 00
148087,REHOBOTH BEACH,DE,19971,541613,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,22,04/27/2020,"Provident State Bank, Inc.",DE - 00
148000,WILMINGTON,DE,19808,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/28/2020,American Express National Bank,DE - 00
147900,WILMINGTON,DE,19808,453998,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,11,04/14/2020,"Readycap Lending, LLC",DE - 00
147800,WILMINGTON,DE,19804,624230,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/30/2020,"Citizens Bank, National Association",DE - 00
147795,WILMINGTON,DE,19804,323113,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/27/2020,"Wilmington Savings Fund Society, FSB",DE - 00
147700,NEWARK,DE,19711,453998,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,13,04/14/2020,"Readycap Lending, LLC",DE - 00
147590,WILMINGTON,DE,19806,813990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,14,04/14/2020,Manufacturers and Traders Trust Company,DE - 00
147500,MILLVILLE,DE,19967,722511,Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,"PNC Bank, National Association",DE - 00
147500,NEW CASTLE,DE,19720,453998,Corporation,Unanswered,Male Owned,Non-Veteran,,14,04/14/2020,"Readycap Lending, LLC",DE - 00
147500,WILMINGTON,DE,19806,621210,Corporation,Unanswered,Unanswered,Unanswered,,8,04/09/2020,"Wilmington Savings Fund Society, FSB",DE - 00
147460,WILMINGTON,DE,19808,314999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,04/14/2020,Manufacturers and Traders Trust Company,DE - 00
147401.6,SEAFORD,DE,19973,922160,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,20,05/08/2020,Community Bank Delaware,DE - 01
147367,DOVER,DE,19904,238130,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,24,04/16/2020,Manufacturers and Traders Trust Company,DE - 00
147250.45,FENWICK ISLAND,DE,19944,441222,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,14,04/09/2020,Tidemark FCU,DE - 00
147100,LEWES,DE,19958,541611,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,04/28/2020,"PNC Bank, National Association",DE - 00
147000,LEWES,DE,19958,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33,04/05/2020,"Fulton Bank, National Association",DE - 00
146960,WILMINGTON,DE,19804,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,04/14/2020,Manufacturers and Traders Trust Company,DE - 00
146866.09,NEWARK,DE,19713,333249,Corporation,Unanswered,Male Owned,Unanswered,,20,04/14/2020,"Fulton Bank, National Association",DE - 00
146700,DOVER,DE,19904,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/28/2020,"PNC Bank, National Association",DE - 00
146487,WILMINGTON,DE,19805,321918,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,16,04/15/2020,"Grow America Fund, Incorporated",DE - 00
