LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149925,WASHINGTON,DC,20007,541110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,7,05/05/2020,First National Bank of Pennsylvania,DC - 00
149809.91,WASHINGTON,DC,20020,236115,Corporation,Unanswered,Unanswered,Unanswered,,12,05/03/2020,Celtic Bank Corporation,DC - 00
149800,WASHINGTON,DC,20012,312120,Corporation,White,Unanswered,Unanswered,,20,04/05/2020,MainStreet Bank,DC - 00
149659,WASHINGTON,DC,20004,541611,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,"Wells Fargo Bank, National Association",DC - 00
149650,WASHINGTON,DC,20006,541990,Corporation,White,Male Owned,Non-Veteran,,15,04/09/2020,Sandy Spring Bank,DC - 00
149600,WASHINGTON,DC,20002,561110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/21/2020,Celtic Bank Corporation,DC - 00
149465,WASHINGTON,DC,20015,611610,Professional Association,Unanswered,Unanswered,Unanswered,,8,04/28/2020,Burke & Herbert Bank & Trust Company,DC - 00
149317.5,WASHINGTON,DC,20036,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/10/2020,"WesBanco Bank, Inc.",DC - 00
149200,WASHINGTON,DC,20007,525990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,04/14/2020,United Bank,DC - 00
149095,WASHINGTON,DC,20007,445291,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,42,05/15/2020,EagleBank,DC - 00
149000,WASHINGTON,DC,20024,541611,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/28/2020,United Bank,DC - 00
148975,WASHINGTON,DC,20002,238190,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,06/29/2020,MBE Capital Partners,DC - 00
148882.5,WASHINGTON,DC,20001,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,18,04/15/2020,EagleBank,DC - 00
148782,WASHINGTON,DC,20012,524292,Corporation,Unanswered,Unanswered,Unanswered,,18,05/15/2020,"WesBanco Bank, Inc.",DC - 00
148780,WASHINGTON,DC,20005,561320,Corporation,Unanswered,Male Owned,Unanswered,,35,04/14/2020,Sandy Spring Bank,DC - 00
148750,WASHINGTON,DC,20032,238910,Corporation,Unanswered,Unanswered,Unanswered,,17,05/01/2020,WebBank,DC - 00
148742,WASHINGTON,DC,20006,531312,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,04/27/2020,EagleBank,DC - 00
148700,WASHINGTON,DC,20006,813319,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,10,04/28/2020,"PNC Bank, National Association",DC - 00
148617,WASHINGTON,DC,20007,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,04/27/2020,EagleBank,DC - 00
148600,WASHINGTON,DC,20005,813920,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,7,04/29/2020,Truist Bank d/b/a Branch Banking & Trust Co,DC - 00
