LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149525,TAMUNING,GU,96913,999990,Corporation,Unanswered,Unanswered,Unanswered,,52,04/29/2020,First Hawaiian Bank,GU - 00
148882.5,TAMUNING,GU,96913,621210,Corporation,Unanswered,Male Owned,Non-Veteran,,17,04/28/2020,First Hawaiian Bank,GU - 00
148717,TAMUNING,GU,96913,524127,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,18,04/28/2020,First Hawaiian Bank,GU - 00
148145,BARRIGADA,GU,96913,442210,Corporation,Asian,Unanswered,Unanswered,,32,04/28/2020,First Hawaiian Bank,GU - 00
147800,TAMUNING,GU,96913,999990,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,22,04/06/2020,Bank of Guam,GU - 00
147700,DEDEDO,GU,96929,531210,Corporation,Unanswered,Unanswered,Unanswered,,12,04/27/2020,First Hawaiian Bank,GU - 00
147570.05,HAGATNA,GU,96932,562991,Sole Proprietorship,Asian,Male Owned,Non-Veteran,,35,04/30/2020,Bank of Guam,GU - 00
147065,BARRIGADA,GU,96913,238210,Sole Proprietorship,Asian,Male Owned,Non-Veteran,,21,04/16/2020,Bank of Guam,GU - 00
146958.77,YIGO,GU,96929,532412,Corporation,Unanswered,Male Owned,Unanswered,,57,05/05/2020,Community First Guam FCU,GU - 00
146046.4,TAMUNING,GU,96913,722511,Corporation,Unanswered,Unanswered,Unanswered,,37,05/05/2020,Bank of Guam,GU - 00
145773.95,TAMUNING,GU,96913,453210,Corporation,Unanswered,Unanswered,Unanswered,,26,04/16/2020,Bank of Guam,GU - 00
145605,TAMUNING,GU,96931,722511,Corporation,Unanswered,Male Owned,Unanswered,,41,04/28/2020,First Hawaiian Bank,GU - 00
143660,HARMON,GU,96913,561720,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,60,04/13/2020,Bank of Guam,GU - 00
143228,TAMUNING,GU,96913,238210,Corporation,Asian,Male Owned,Unanswered,,17,04/15/2020,Bank of Guam,GU - 00
142875,DEDEDO,GU,96929,621210,Corporation,Asian,Male Owned,Non-Veteran,,8,04/06/2020,"ANZ Guam, Inc",GU - 00
142762,TAMUNING,GU,96913,423430,Corporation,Unanswered,Unanswered,Unanswered,,28,04/15/2020,Bank of Guam,GU - 00
142500,TAMUNING,GU,96913,722511,Corporation,Unanswered,Unanswered,Unanswered,,32,04/29/2020,Community First Guam FCU,GU - 00
142050,TAMUNING,GU,96913,523120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,04/14/2020,Bank of Guam,GU - 00
141949,TAMUNING,GU,96913,811412,Corporation,White,Male Owned,Non-Veteran,,19,04/29/2020,First Hawaiian Bank,GU - 00
141500,TAMUNING,GU,96913,561790,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,46,04/07/2020,Bank of Guam,GU - 00
140813.72,HAGATNA,GU,96910,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/13/2020,Community First Guam FCU,GU - 00
140700,BARRIGADA,GU,96913,511110,Corporation,Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii,GU - 00
140323,TAMUNING,GU,96913,722511,Corporation,Unanswered,Unanswered,Unanswered,,51,04/09/2020,Bank of Guam,GU - 00
140100,TAMUNING,GU,96913,812320,Corporation,Unanswered,Unanswered,Unanswered,,22,04/07/2020,First Hawaiian Bank,GU - 00
140000,BARRIGADA,GU,96913,423610,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/08/2020,Bank of Hawaii,GU - 00
139800,TAMUNING,GU,96913,813910,Corporation,Unanswered,Unanswered,Unanswered,,22,04/16/2020,First Hawaiian Bank,GU - 00
138405,YIGO,GU,96929,611699,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,27,04/29/2020,First Hawaiian Bank,GU - 00
