LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149957.5,HONOLULU,HI,96813,238220,Corporation,Unanswered,Unanswered,Unanswered,,14,04/16/2020,First Hawaiian Bank,HI - 01
149900,HONOLULU,HI,96814,541990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,17,04/08/2020,First Hawaiian Bank,HI - 01
149800,HONOLULU,HI,96816,722511,Corporation,Asian,Male Owned,Non-Veteran,,42,04/12/2020,Central Pacific Bank,HI - 01
149800,HONOLULU,HI,96815,722511,Corporation,Unanswered,Unanswered,Unanswered,,27,05/27/2020,"American Savings Bank, FSB",HI - 01
149700,AIEA,HI,96701,621111,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,10,04/06/2020,"American Savings Bank, FSB",HI - 01
149657,CAPTAIN COOK,HI,96704,721110,Corporation,Unanswered,Male Owned,Non-Veteran,,,04/16/2020,Bank of Hawaii,HI - 02
149615,HONOLULU,HI,96816,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/11/2020,Bank of Hawaii,HI - 01
149500,KAILUA KONA,HI,96740,487110,Corporation,Unanswered,Unanswered,Unanswered,,18,04/09/2020,First Hawaiian Bank,HI - 02
149455,MILILANI,HI,96789,238990,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,15,05/08/2020,Bank of Hawaii,HI - 01
149400,HONOLULU,HI,96815,722511,Corporation,Unanswered,Unanswered,Unanswered,,33,04/10/2020,First Hawaiian Bank,HI - 01
149400,HONOKAA,HI,96727,722310,Corporation,Unanswered,Male Owned,Veteran,,41,04/10/2020,First Bank,HI - 02
149392,KILAUEA,HI,96754,722513,Corporation,Unanswered,Unanswered,Unanswered,,0,05/11/2020,Central Pacific Bank,HI - 02
149320,KAHULUI,HI,96732,238220,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,,04/12/2020,Bank of Hawaii,HI - 02
149300,PUUNENE,HI,96784,238990,Corporation,Unanswered,Unanswered,Unanswered,,0,05/08/2020,Central Pacific Bank,HI - 02
149300,LIHUE,HI,96766,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,04/06/2020,Central Pacific Bank,HI - 02
149200,HONOLULU,HI,96814,541512,Corporation,Unanswered,Unanswered,Unanswered,,7,04/07/2020,"American Savings Bank, FSB",HI - 01
149100,LAHAINA,HI,96761,713990,Corporation,Unanswered,Male Owned,Unanswered,,76,04/13/2020,First Hawaiian Bank,HI - 02
149100,HONOLULU,HI,96813,541611,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,04/14/2020,First Hawaiian Bank,HI - 01
149000,KAPAA,HI,96746,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,04/09/2020,First Hawaiian Bank,HI - 02
148900,KAMUELA,HI,96743,722310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/16/2020,First Hawaiian Bank,HI - 02
