LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149925,BOISE,ID,83702,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,28,04/10/2020,First Interstate Bank,ID - 02
149909.07,TWIN FALLS,ID,83301,812210,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,,04/28/2020,Columbia State Bank,ID - 02
149900,BOISE,ID,83705,522220,Corporation,Unanswered,Unanswered,Unanswered,,11,04/11/2020,"Zions Bank, A Division of",ID - 01
149900,NAMPA,ID,83686,511210,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,18,04/03/2020,First Federal Savings Bank of Twin Falls,ID - 01
149900,MERIDIAN,ID,83642,541110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,0,04/06/2020,Washington Trust Bank,ID - 01
149900,REXBURG,ID,83440,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,60,04/07/2020,D. L. Evans Bank,ID - 02
149852,TWIN FALLS,ID,83301,722513,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,65,06/08/2020,First Federal Savings Bank of Twin Falls,ID - 02
149788,MERIDIAN,ID,83642,238110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,05/03/2020,"U.S. Bank, National Association",ID - 01
149768,MERIDIAN,ID,83642,236115,Corporation,White,Male Owned,Non-Veteran,,12,04/14/2020,First Federal Savings Bank of Twin Falls,ID - 01
149704,HAILEY,ID,83333,713940,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,05/03/2020,"U.S. Bank, National Association",ID - 02
149600,POST FALLS,ID,83854,337212,Corporation,Unanswered,Unanswered,Unanswered,,0,04/13/2020,bankcda,ID - 01
149600,CALDWELL,ID,83605,423820,Corporation,Unanswered,Male Owned,Unanswered,,15,04/27/2020,D. L. Evans Bank,ID - 01
149545,SAGLE,ID,83860,238210,Corporation,Unanswered,Male Owned,Non-Veteran,,15,04/14/2020,"U.S. Bank, National Association",ID - 01
149490,BOISE,ID,83705,524113,Corporation,Unanswered,Unanswered,Unanswered,,10,06/03/2020,"U.S. Bank, National Association",ID - 01
149425,LEWISTON,ID,83501,238210,Corporation,Unanswered,Male Owned,Unanswered,,14,04/14/2020,Potlatch No. 1 Financial Credit Union,ID - 01
149400,BOISE,ID,83704,236118,Corporation,Unanswered,Unanswered,Unanswered,,10,04/04/2020,Idaho Central CU,ID - 02
149371.2,NEW MEDOWS,ID,83654,444190,Corporation,Unanswered,Unanswered,Unanswered,,25,04/15/2020,"U.S. Bank, National Association",ID - 01
149342,MERIDIAN,ID,83646,334111,Corporation,Unanswered,Unanswered,Unanswered,,12,04/30/2020,Bank of the West,ID - 01
149300,IDAHO FALLS,ID,83402,621610,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/09/2020,The Bank of Commerce,ID - 02
149179,POST FALLS,ID,83854,337124,Subchapter S Corporation,White,Male Owned,Unanswered,,12,04/15/2020,First Interstate Bank,ID - 01
