LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149900,BERWICK,ME,03901,238160,Corporation,White,Male Owned,Unanswered,,18,04/03/2020,Partners Bank of New England,ME - 01
149882,BELFAST,ME,04915,722310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,16,04/07/2020,Camden National Bank,ME - 02
149867,PORTLAND,ME,04101,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,34,04/13/2020,KeyBank National Association,ME - 01
149800,PORTLAND,ME,04101,541613,Professional Association,Unanswered,Unanswered,Unanswered,,12,04/07/2020,Gorham Savings Bank,ME - 01
149773,CARIBOU,ME,04736,111211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20,04/15/2020,Machias Savings Bank,ME - 02
149602,SEBEC,ME,04481,237990,Corporation,Unanswered,Unanswered,Unanswered,,24,04/13/2020,Camden National Bank,ME - 02
149600,SPRINGVALE,ME,04083,562910,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,,04/16/2020,"Citizens Bank, National Association",ME - 01
149600,WARREN,ME,04864,453998,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,15,04/12/2020,KeyBank National Association,ME - 01
149563.15,KENNEBUNK,ME,04043,812112,Corporation,White,Male Owned,Unanswered,,25,04/08/2020,Norway Savings Bank,ME - 01
149400,PORTLAND,ME,04102,541990,Subchapter S Corporation,White,Male Owned,Non-Veteran,,9,04/06/2020,Bangor Savings Bank,ME - 01
149400,POLAND,ME,04274,339999,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,04/09/2020,Androscoggin Savings Bank,ME - 02
149363,BANGOR,ME,04401,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38,05/03/2020,KeyBank National Association,ME - 02
149200,CLINTON,ME,04927,445110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,38,04/11/2020,First National Bank,ME - 02
149200,SCARBOROUGH,ME,04074,532310,Corporation,Unanswered,Unanswered,Unanswered,,16,04/09/2020,"Biddeford Savings, A Division of",ME - 01
149012,AUBURN,ME,04212,531311,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,16,04/07/2020,"Auburn Savings Bank, FSB",ME - 02
149000,AUGUSTA,ME,04330,236220,Subchapter S Corporation,White,Male Owned,Non-Veteran,,0,04/07/2020,Kennebec Savings Bank,ME - 01
148959,HAMPDEN,ME,04444,445220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,04/10/2020,Machias Savings Bank,ME - 02
148900,AUBURN,ME,04211,424420,Corporation,Unanswered,Unanswered,Unanswered,,10,04/04/2020,Camden National Bank,ME - 02
148900,SCARBOROUGH,ME,04074,442110,Corporation,Unanswered,Female Owned,Non-Veteran,,14,04/07/2020,Norway Savings Bank,ME - 01
148800,SOUTH PARIS,ME,04281,326212,Corporation,White,Female Owned,Non-Veteran,,12,04/04/2020,Machias Savings Bank,ME - 02
148800,CAMDEN,ME,04843,722511,Corporation,Unanswered,Unanswered,Unanswered,,10,04/06/2020,Camden National Bank,ME - 01
148744,EAST WATERBORO,ME,04030,621330,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,21,04/07/2020,"Wilmington Savings Fund Society, FSB",ME - 01
148725,WISCASSET,ME,04578,441120,Corporation,Unanswered,Unanswered,Unanswered,,10,04/08/2020,Camden National Bank,ME - 01
148700,WELLS,ME,04090,624410,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,17,05/01/2020,Kennebunk Savings Bank,ME - 01
148600,EASTPORT,ME,04631,445110,Corporation,Unanswered,Male Owned,Veteran,,26,04/27/2020,First National Bank,ME - 02
148600,PORTLAND,ME,04101,111998,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,7,04/08/2020,Gorham Savings Bank,ME - 01
148500,GREENE,ME,04236,488999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/28/2020,First National Bank,ME - 02
148479.6,LEWISTON,ME,04241,321920,Corporation,Unanswered,Unanswered,Unanswered,,18,04/15/2020,Camden National Bank,ME - 02
148455,SEAL HARBOR,ME,04675,236116,Corporation,Unanswered,Unanswered,Unanswered,,13,04/07/2020,Camden National Bank,ME - 02
148400,YORK,ME,03909,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/28/2020,Bangor Savings Bank,ME - 01
148300,FAIRFIELD,ME,04937,446110,Subchapter S Corporation,White,Male Owned,Non-Veteran,,13,04/27/2020,Kennebec Savings Bank,ME - 02
148300,YORK,ME,03909,238910,Corporation,Unanswered,Unanswered,Unanswered,,16,04/08/2020,Kennebunk Savings Bank,ME - 01
148100,WESTBROOK,ME,04092,423420,Corporation,Unanswered,Unanswered,Unanswered,,11,04/07/2020,Androscoggin Savings Bank,ME - 01
148100,NEWPORT,ME,04953,531120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,04/08/2020,First National Bank,ME - 02
148000,WEST ROCKPORT,ME,04865,236118,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,19,05/22/2020,First National Bank,ME - 01
147900,HERMON,ME,04401,237990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,04/13/2020,First National Bank,ME - 02
147600,LEWISTON,ME,04240,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,40,04/15/2020,"Biddeford Savings, A Division of",ME - 02
147600,CARIBOU,ME,04736,541211,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,12,04/10/2020,Katahdin Trust Co.,ME - 02
147600,GORHAM,ME,04038,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,25,04/08/2020,Gorham Savings Bank,ME - 01
147500,DENMARK,ME,04022,721211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/11/2020,KeyBank National Association,ME - 02
147415,WALTHAM,ME,04605,484220,Corporation,Unanswered,Unanswered,Unanswered,,14,04/05/2020,Machias Savings Bank,ME - 02
147400,BANGOR,ME,04401,541611,Corporation,Unanswered,Unanswered,Unanswered,,4,05/04/2020,Bangor Savings Bank,ME - 02
147400,FALMOUTH,ME,04105,722511,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,36,04/05/2020,Bangor Savings Bank,ME - 01
147400,LIMINGTON,ME,04049,337212,Corporation,Unanswered,Male Owned,Non-Veteran,,19,04/08/2020,Bangor Savings Bank,ME - 01
147300,ELLSWORTH,ME,04605,238990,Corporation,Unanswered,Unanswered,Unanswered,,15,04/08/2020,Camden National Bank,ME - 02
147250,ELLSWORTH,ME,04605,238170,Corporation,Unanswered,Unanswered,Unanswered,,23,04/10/2020,Machias Savings Bank,ME - 02
147240,BRUNSWICK,ME,04011,522294,Non-Profit Organization,Unanswered,Female Owned,Unanswered,Y,7,04/07/2020,Machias Savings Bank,ME - 01
147100,SOUTHWEST HARBOR,ME,04679,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,15,04/07/2020,First National Bank,ME - 02
147000,MILLINOCKET,ME,04462,238910,Corporation,White,Female Owned,Non-Veteran,,15,04/03/2020,Katahdin Trust Co.,ME - 02
147000,BRUNSWICK,ME,04011,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,04/06/2020,"People's United Bank, National Association",ME - 01
