LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149800,BIG SKY,MT,59716,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,19,04/04/2020,Glacier Bank,MT - 00
149700,KALISPELL,MT,59901,332321,Corporation,Unanswered,Male Owned,Unanswered,,17,04/04/2020,"First Montana Bank, Inc.",MT - 00
149700,KALISPELL,MT,59903,541211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/04/2020,Glacier Bank,MT - 00
149530,BILLINGS,MT,59101,624221,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,12,04/16/2020,First Interstate Bank,MT - 00
149505,VICTOR,MT,59875,238990,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,14,04/15/2020,First Interstate Bank,MT - 00
149500,BIG SANDY,MT,59520,112111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,04/09/2020,Glacier Bank,MT - 00
149263.72,GREAT FALLS,MT,59405,811111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,04/28/2020,American Bank Center,MT - 00
149198,BILLINGS,MT,59102,722410,Partnership,Unanswered,Unanswered,Unanswered,,16,04/10/2020,First Interstate Bank,MT - 00
149137.5,BOZEMAN,MT,59718,339999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,04/16/2020,First Interstate Bank,MT - 00
148900,BOZEMAN,MT,59715,611620,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,38,04/04/2020,Stockman Bank of Montana,MT - 00
148800,HELENA,MT,59601,238220,Subchapter S Corporation,White,Female Owned,Unanswered,,16,04/04/2020,Opportunity Bank of Montana,MT - 00
148700,HELENA,MT,59601,441110,Corporation,Unanswered,Unanswered,Unanswered,,0,04/04/2020,The Bank of Commerce,MT - 00
148700,JACKSON,MT,59736,811310,Corporation,White,Unanswered,Unanswered,,20,04/07/2020,Stockman Bank of Montana,MT - 00
148600,MISSOULA,MT,59803,621340,Limited Liability Partnership,White,Female Owned,Unanswered,,14,04/03/2020,Glacier Bank,MT - 00
148600,LIVINGSTON,MT,59047,621320,Subchapter S Corporation,White,Male Owned,Unanswered,,13,04/06/2020,American Bank,MT - 00
148500,FORT BENTON,MT,59442,115310,Subchapter S Corporation,White,Male Owned,Non-Veteran,,10,04/06/2020,Stockman Bank of Montana,MT - 00
148500,HAMILTON,MT,59840,812320,Corporation,Unanswered,Female Owned,Unanswered,,35,04/09/2020,Glacier Bank,MT - 00
148400,BILLINGS,MT,59105,115116,Corporation,Unanswered,Unanswered,Unanswered,,15,04/05/2020,Cache Valley Bank,MT - 00
148300,HELENA,MT,59601,238990,Subchapter S Corporation,White,Female Owned,Non-Veteran,,14,04/04/2020,Glacier Bank,MT - 00
148200,CUT BANK,MT,59427,722513,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,27,04/04/2020,Stockman Bank of Montana,MT - 00
148100,BELGRADE,MT,59714,811191,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,26,04/05/2020,Glacier Bank,MT - 00
148082,GREAT FALLS,MT,59405,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,04/14/2020,First Interstate Bank,MT - 00
148000,HELENA,MT,59601,532490,Corporation,White,Male Owned,Non-Veteran,,18,04/03/2020,Stockman Bank of Montana,MT - 00
148000,KALISPELL,MT,59901,811111,Corporation,Unanswered,Unanswered,Non-Veteran,,11,04/03/2020,Three Rivers Bank of Montana,MT - 00
148000,BILLINGS,MT,59102,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,40,04/04/2020,Glacier Bank,MT - 00
148000,KALISPELL,MT,59901,451110,Corporation,Unanswered,Unanswered,Unanswered,,0,04/08/2020,Glacier Bank,MT - 00
