LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149988,SALEM,NH,03079,621111,Corporation,Unanswered,Unanswered,Unanswered,,8,04/29/2020,Northmark Bank,NH - 02
149940,MANCHESTER,NH,03102,624410,Corporation,White,Male Owned,Veteran,,29,04/07/2020,Eastern Bank,NH - 01
149900,CONCORD,NH,03301,624190,Corporation,Unanswered,Unanswered,Unanswered,,10,04/14/2020,Ledyard National Bank,NH - 02
149900,HUDSON,NH,03051,444220,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,0,04/14/2020,Enterprise Bank and Trust Company,NH - 01
149900,LACONIA,NH,03246,332710,Corporation,Unanswered,Unanswered,Unanswered,,,04/15/2020,"Citizens Bank, National Association",NH - 01
149800,NASHUA,NH,03060,335999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,04/07/2020,Enterprise Bank and Trust Company,NH - 02
149753,DOVER,NH,03820,722511,Corporation,Unanswered,Unanswered,Unanswered,,15,04/07/2020,Eastern Bank,NH - 01
149700,FITZWILLIAM,NH,03447,339999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,04/07/2020,Camden National Bank,NH - 02
149600,MANCHESTER,NH,03103,541219,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,9,04/10/2020,Primary Bank,NH - 01
149600,MANCHESTER,NH,03101,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,04/07/2020,Primary Bank,NH - 01
149600,DOVER,NH,03820,722511,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,30,04/08/2020,Bank of New Hampshire,NH - 01
149500,MANCHESTER,NH,03109,541330,Corporation,White,Male Owned,Non-Veteran,,9,04/03/2020,Primary Bank,NH - 01
149500,BOW,NH,03304,238220,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,10,04/04/2020,Merrimack County Savings Bank,NH - 02
149472,HAMPSTEAD,NH,03841,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,04/27/2020,Northmark Bank,NH - 01
149400,PORTSMOUTH,NH,03801,813110,Corporation,Unanswered,Unanswered,Unanswered,,28,04/28/2020,Newburyport Five Cents Savings Bank,NH - 01
149400,RYE,NH,03870,541940,Subchapter S Corporation,Unanswered,Male Owned,Veteran,,12,04/15/2020,Kennebunk Savings Bank,NH - 01
149400,BOW,NH,03304,424950,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,15,04/09/2020,Berkshire Bank,NH - 02
149200,MOULTONBOROUGH,NH,03254,561730,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,28,04/10/2020,Bank of New Hampshire,NH - 01
149200,NASHUA,NH,03060,611710,Corporation,Unanswered,Male Owned,Non-Veteran,,,04/15/2020,"Citizens Bank, National Association",NH - 02
149196,DOVER,NH,03820,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/28/2020,Columbia State Bank,NH - 01
149166,MANCHESTER,NH,03102,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,05/03/2020,"Bank of America, National Association",NH - 01
149100,MANCHESTER,NH,03102,813110,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,77,04/28/2020,St. Mary's Bank,NH - 01
149000,PEMBROKE,NH,03275,236220,Corporation,Unanswered,Male Owned,Non-Veteran,,,04/16/2020,"Citizens Bank, National Association",NH - 02
149000,NORTH HAVERHILL,NH,03774,454310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,04/13/2020,Berkshire Bank,NH - 02
