LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149995,PERALTA,NM,87042,238990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,21,04/30/2020,Bank of the West,NM - 02
149900,ALBUQUERQUE,NM,87107,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,04/13/2020,"BOKF, National Association",NM - 01
149872.5,DEXTER,NM,88230,213112,Limited  Liability Company(LLC),Hispanic,Male Owned,Non-Veteran,,28,05/20/2020,Pioneer Bank,NM - 02
149690,JOGUES,NM,88008,621111,Corporation,Unanswered,Unanswered,Unanswered,,0,05/01/2020,BBVA USA,NM - 02
149655,SANTA FE,NM,87505,722511,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,13,04/30/2020,Accion,NM - 03
149621,ALBUQUERQUE,NM,87120,811111,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,9,04/14/2020,"U.S. Bank, National Association",NM - 01
149615,ALBUQUERQUE,NM,87107,721110,Corporation,Asian,Male Owned,Non-Veteran,,47,04/10/2020,United Business Bank,NM - 01
149587,ALBUQUERQUE,NM,87106,238990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,15,04/14/2020,"U.S. Bank, National Association",NM - 01
149565,ANTHONY,NM,88021,621111,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,10,04/14/2020,BBVA USA,NM - 02
149339,SANTA FE,NM,87501,311119,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/13/2020,"Sunflower Bank, National Association",NM - 03
149300,LAS CRUCES,NM,88001,611620,Corporation,White,Female Owned,Non-Veteran,,30,04/07/2020,Bank 34,NM - 02
149225,LAS CRUCES,NM,88005,813920,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,36,04/30/2020,Bank of the West,NM - 02
149066.07,ARTESIA,NM,88211,524210,Corporation,Unanswered,Male Owned,Unanswered,,13,04/06/2020,"Western Bank, Artesia, New Mexico",NM - 02
148875,LAS CRUCES,NM,88005,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,25,04/15/2020,Citizens Bank of Las Cruces,NM - 02
148865,HOBBS,NM,88240,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,04/15/2020,First Interstate Bank,NM - 02
148857,LAS CRUCES,NM,88007,423390,Corporation,Unanswered,Unanswered,Unanswered,,19,04/07/2020,Citizens Bank of Las Cruces,NM - 02
148800,DEXTER,NM,88230,112120,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,16,04/10/2020,First American Bank,NM - 02
148642,ALBUQUERQUE,NM,87114,722511,Corporation,Hispanic,Unanswered,Unanswered,,,04/15/2020,Century Bank,NM - 01
