LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149937.29,WEST FARGO,ND,58078,237990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,15,04/07/2020,First Community CU,ND - 00
149600,GRAFTON,ND,58237,446110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,19,04/06/2020,Choice Financial Group,ND - 00
149100,MCCLUSKY,ND,58463,541940,Corporation,White,Female Owned,Non-Veteran,,16,04/04/2020,First International Bank & Trust,ND - 00
149100,PLAZA,ND,58771,447110,Cooperative,Unanswered,Unanswered,Unanswered,,29,04/13/2020,Cornerstone Bank,ND - 00
149000,HOOPLE,ND,58243,111110,Partnership,Unanswered,Male Owned,Unanswered,,12,04/14/2020,American Bank Center,ND - 00
148800,FARGO,ND,58104,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,04/07/2020,BlackRidgeBANK,ND - 00
148755,BISMARCK,ND,58504,621330,Corporation,Unanswered,Unanswered,Unanswered,,13,04/10/2020,Vue Community CU,ND - 00
148500,GACKLE,ND,58442,623110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,35,04/08/2020,Unison Bank,ND - 00
148500,CROSBY,ND,58730,484110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,8,04/28/2020,BNC National Bank,ND - 00
148400,ARNEGARD,ND,58835,213112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,04/14/2020,The Bank of Baker,ND - 00
148200,FARGO,ND,58103,423120,Sole Proprietorship,White,Male Owned,Non-Veteran,,11,04/03/2020,First International Bank & Trust,ND - 00
148200,FARGO,ND,58103,448310,Corporation,Unanswered,Unanswered,Unanswered,,20,04/05/2020,Bell Bank,ND - 00
148100,BISMARCK,ND,58502,722511,Subchapter S Corporation,White,Female Owned,Non-Veteran,,32,04/03/2020,BlackRidgeBANK,ND - 00
148100,BISMARCK,ND,58504,238220,Subchapter S Corporation,White,Male Owned,Non-Veteran,,12,04/30/2020,First International Bank & Trust,ND - 00
148034,MANDAN,ND,58554,112120,Partnership,Hispanic,Male Owned,Non-Veteran,,15,04/10/2020,Bank of Glen Ullin,ND - 00
148032.5,NAPOLEON,ND,58561,115210,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,50,04/07/2020,First Community CU,ND - 00
148025,BOTTINEAU,ND,58318,813110,Corporation,Unanswered,Male Owned,Unanswered,,16,04/07/2020,First National Bank and Trust Co. of Bottineau,ND - 00
148000,NEW TOWN,ND,58763,213111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/28/2020,"Bremer Bank, National Association",ND - 00
147930,TURTLE LAKE,ND,58575,311999,Corporation,Unanswered,Unanswered,Unanswered,,17,06/03/2020,Bank of Turtle Lake,ND - 00
147800,ROLLA,ND,58367,441110,Corporation,Unanswered,Unanswered,Unanswered,,18,04/10/2020,Dacotah Bank,ND - 00
147800,DICKINSON,ND,58601,213112,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,9,04/03/2020,Cornerstone Bank,ND - 00
147800,WAHPETON,ND,58075,722511,Corporation,White,Male Owned,Non-Veteran,,74,04/08/2020,Bank Forward,ND - 00
147700,BISMARCK,ND,58501,441320,Corporation,Unanswered,Female Owned,Unanswered,,13,04/06/2020,"Dakota Community Bank & Trust, National Association",ND - 00
147600,MINOT,ND,58701,237310,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,12,04/06/2020,First International Bank & Trust,ND - 00
147400,WATFORD CITY,ND,58854,237120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,44,04/16/2020,BNC National Bank,ND - 00
147300,FARGO,ND,58102,484121,Corporation,Unanswered,Unanswered,Unanswered,,14,04/04/2020,Choice Financial Group,ND - 00
147300,FARGO,ND,58103,453310,Corporation,Unanswered,Unanswered,Unanswered,,22,04/07/2020,"Alerus Financial, National Association",ND - 00
147300,FARGO,ND,58102,722511,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,40,04/15/2020,Town and Country CU,ND - 00
147200,FARGO,ND,58102,238140,Subchapter S Corporation,White,Male Owned,Non-Veteran,,16,04/27/2020,Cornerstone Bank,ND - 00
147200,FARGO,ND,58103,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/28/2020,BNC National Bank,ND - 00
147200,MANDAN,ND,58554,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,24,04/14/2020,Starion Bank,ND - 00
147200,MANDAN,ND,58554,561410,Corporation,White,Female Owned,Unanswered,,10,04/07/2020,American Bank Center,ND - 00
146900,FARGO,ND,58102,333120,Corporation,Unanswered,Male Owned,Veteran,,12,04/14/2020,"Bremer Bank, National Association",ND - 00
146800,FARGO,ND,58106,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,37,04/10/2020,"Bremer Bank, National Association",ND - 00
146800,BISMARCK,ND,58501,238220,Corporation,Unanswered,Unanswered,Unanswered,,13,04/09/2020,Cornerstone Bank,ND - 00
146700,FARGO,ND,58102,541613,Corporation,Unanswered,Unanswered,Unanswered,,6,04/08/2020,"Alerus Financial, National Association",ND - 00
146500,FARGO,ND,58104,423940,Corporation,White,Male Owned,Non-Veteran,,9,04/04/2020,VISIONBank,ND - 00
146500,FARGO,ND,58104,813211,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,9,04/04/2020,VISIONBank,ND - 00
146477,WESTHOPE,ND,58793,111191,Partnership,Unanswered,Unanswered,Unanswered,,9,04/15/2020,Peoples State Bank,ND - 00
146367.92,BISMARCK,ND,58502,236220,Corporation,White,Male Owned,Non-Veteran,,14,04/08/2020,Bank of Glen Ullin,ND - 00
146300,FARGO,ND,58103,446110,Corporation,White,Male Owned,Non-Veteran,,17,04/16/2020,Starion Bank,ND - 00
146300,MINOT,ND,58701,621210,Corporation,White,Male Owned,Non-Veteran,,12,04/27/2020,First Western Bank & Trust,ND - 00
146300,WILLISTON,ND,58801,238910,Corporation,Unanswered,Unanswered,Unanswered,,13,04/07/2020,"BankWest, Inc",ND - 00
146300,WEST FARGO,ND,58078,561720,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25,04/08/2020,Western State Bank,ND - 00
146200,BISMARCK,ND,58501,621330,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,10,04/04/2020,Choice Financial Group,ND - 00
146200,WILLISTON,ND,58801,444110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,25,04/08/2020,"Bremer Bank, National Association",ND - 00
146106,FARGO,ND,58103,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,04/28/2020,Gate City Bank,ND - 00
146100,WEST FARGO,ND,58078,531120,Corporation,Unanswered,Unanswered,Unanswered,,15,04/10/2020,Bell Bank,ND - 00
146100,BISMARCK,ND,58504,236220,Subchapter S Corporation,White,Male Owned,Unanswered,,12,04/03/2020,Starion Bank,ND - 00
146100,DICKINSON,ND,58601,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,04/13/2020,Dacotah Bank,ND - 00
146000,BISMARCK,ND,58503,621111,Subchapter S Corporation,White,Male Owned,Non-Veteran,,8,04/03/2020,Starion Bank,ND - 00
146000,GRAND FORKS,ND,58201,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,39,04/08/2020,"Alerus Financial, National Association",ND - 00
145900,GRAND FORKS,ND,58201,541370,Corporation,White,Male Owned,Non-Veteran,,,06/03/2020,"Bremer Bank, National Association",ND - 00
145855,TOWER CITY,ND,58071,447110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,,04/06/2020,BankNorth,ND - 00
145700,FARGO,ND,58102,523930,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,5,04/07/2020,Central Minnesota CU,ND - 00
145625.67,GRAND FORKS,ND,58203,722511,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,41,04/08/2020,First Community CU,ND - 00
145600,MANDAN,ND,58554,441320,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,10,04/27/2020,Starion Bank,ND - 00
145600,WILTON,ND,58579,493130,Cooperative,Unanswered,Unanswered,Unanswered,,8,04/09/2020,The Union Bank,ND - 00
