LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
27400,APO,AE,09724,541512,Corporation,Asian,Male Owned,Non-Veteran,,0,06/02/2020,Navy FCU,AE - 00
42100,POMPANO BEACH,FI,33069,333318,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,05/03/2020,"Citibank, N.A.",FL - 20
148440,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,12,05/03/2020,"Bank of America, National Association",NA -
140081.78,LADSON,XX,29456,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,05/03/2020,Synovus Bank,SC - 01
136520.96,MANNING,XX,29102,541990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,170,05/03/2020,Synovus Bank,SC - 05
128440,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,9,05/03/2020,"Bank of America, National Association",NA -
126798,REDFORD,XX,48239,,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,20,05/03/2020,"Bank of America, National Association",MI - 11
125916,SPARTANBURG,XX,29303,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,05/03/2020,Synovus Bank,SC - 04
111200,N/A,XX,,332710,,Unanswered,Male Owned,Non-Veteran,,10,05/03/2020,The Huntington National Bank,NA -
109988,N/A,XX,,238990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
100000,PASADENA,XX,91101,621210,Corporation,Unanswered,Unanswered,Unanswered,,9,05/03/2020,"Bank of America, National Association",CA - 27
100000,N/A,XX,,621210,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
90394,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,20,05/03/2020,"Bank of America, National Association",NA -
89241,N/A,XX,,,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
87886,N/A,XX,,,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
80260,N/A,XX,,484121,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
79003,N/A,XX,,621610,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
76871,N/A,XX,,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
73568,DEL MAR,XX,92014,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,05/03/2020,"Bank of America, National Association",CA - 49
64942,ONTARIO,XX,91764,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,05/03/2020,"Bank of America, National Association",CA - 31
62398,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,5,05/03/2020,"Bank of America, National Association",NA -
61711,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,4,05/03/2020,"Bank of America, National Association",NA -
60320,N/A,XX,,339114,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,05/03/2020,"Bank of America, National Association",NA -
57430,N/A,XX,,424410,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
52861,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,14,05/03/2020,"Bank of America, National Association",NA -
52682.58,JUNO BEACH,XX,33408,524210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,05/03/2020,Synovus Bank,FL - 18
52605,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,6,05/03/2020,"Bank of America, National Association",NA -
49563,N/A,XX,,493190,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
49207,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,4,05/03/2020,"Bank of America, National Association",NA -
44129,N/A,XX,,541110,Corporation,Unanswered,Unanswered,Unanswered,,3,05/03/2020,"Bank of America, National Association",NA -
43168,N/A,XX,,621210,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
41668,N/A,XX,,541330,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
41500,N/A,XX,,541310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
41153,N/A,XX,,713910,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
37582,N/A,XX,,541618,,Unanswered,Unanswered,Unanswered,,8,05/03/2020,The Huntington National Bank,NA -
37500,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,5,05/03/2020,"Bank of America, National Association",NA -
36723,N/A,XX,,621111,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
35866,CERRITOS,XX,90703,,Corporation,Unanswered,Male Owned,Non-Veteran,,7,05/03/2020,"Bank of America, National Association",CA - 38
34188,N/A,XX,,541512,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
33233,N/A,XX,,561611,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,12,05/03/2020,The Huntington National Bank,NA -
32625,N/A,XX,,813110,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
31544.08,MONTGOMERY,XX,36106,524210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,9,05/03/2020,Synovus Bank,AL - 02
31340,N/A,XX,,713940,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
30824,N/A,XX,,811111,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
30000,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,1,05/03/2020,"Bank of America, National Association",NA -
30000,N/A,XX,,999990,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
30000,N/A,XX,,,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
27684,N/A,XX,,311999,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
27427,N/A,XX,,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
27275,N/A,XX,,812113,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
25947,CORONA,XX,92880,541519,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,05/03/2020,"Bank of America, National Association",CA - 35
25762,N/A,XX,,623110,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
23968,N/A,XX,,531110,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
23763.18,LEGRAND BLVD,XX,29492,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,05/03/2020,Synovus Bank,SC - 01
23452,TAMPA,XX,33647,722513,Corporation,Unanswered,Unanswered,Unanswered,,8,05/03/2020,"Bank of America, National Association",FL - 14
23021,N/A,XX,,322211,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
22604,SUDBURY,XX,01776,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,05/03/2020,"Bank of America, National Association",MA - 03
22528,N/A,XX,,561990,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
22500,N/A,XX,,,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
22500,N/A,XX,,221118,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
22455,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,2,05/03/2020,"Bank of America, National Association",NA -
22200,N/A,XX,,561510,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
21815,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,7,05/03/2020,"Bank of America, National Association",NA -
21813,N/A,XX,,541618,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
21250,N/A,XX,,561790,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
21051,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,2,05/03/2020,"Bank of America, National Association",NA -
20833,N/A,XX,,541990,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
20833,N/A,XX,,541840,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
20833,N/A,XX,,523991,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
20833,N/A,XX,,999990,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
20833,N/A,XX,,,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
20832,MINEOLA,XX,11501,541199,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,05/03/2020,"Bank of America, National Association",NY - 03
20832,BOONTON,XX,07005,541618,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,05/03/2020,"Bank of America, National Association",NJ - 11
20691,N/A,XX,,238130,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
20274,N/A,XX,,454390,,Unanswered,Female Owned,Non-Veteran,,1,05/03/2020,The Huntington National Bank,NA -
20000,N/A,XX,,,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
19353,N/A,XX,,,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
18475,JERICHO,XX,11753,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,05/03/2020,"Bank of America, National Association",NY - 03
18203,N/A,XX,,611610,Corporation,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
17693,N/A,XX,,531210,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
17500,N/A,XX,,237310,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
17500,N/A,XX,,561730,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
17415,N/A,XX,,,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
17000,N/A,XX,,611620,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
16968,N/A,XX,,238150,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
16873,N/A,XX,,811111,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
16467,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,1,05/03/2020,"Bank of America, National Association",NA -
16385,N/A,XX,,339114,,Unanswered,Unanswered,Unanswered,,4,05/03/2020,"Bank of America, National Association",NA -
16350,N/A,XX,,811111,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
16115,N/A,XX,,,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
15960,N/A,XX,,999990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
15870,N/A,XX,,541611,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
15625,N/A,XX,,,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
15433,N/A,XX,,523210,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
15291,N/A,XX,,811118,,Unanswered,Unanswered,Unanswered,,,05/03/2020,The Huntington National Bank,NA -
