LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149732,SIOUX FALLS,SD,57104,,Partnership,Unanswered,Unanswered,Unanswered,,37,05/03/2020,"U.S. Bank, National Association",SD - 00
149600,CLEAR LAKE,SD,57226,112120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/10/2020,First Bank & Trust,SD - 00
149600,ABERDEEN,SD,57401,722310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,45,04/14/2020,Dacotah Bank,SD - 00
149500,NORTH SIOUX CITY,SD,57049,621310,Limited Liability Partnership,White,Male Owned,Non-Veteran,,15,04/03/2020,Liberty National Bank,SD - 00
149500,SIOUX FALLS,SD,57108,238110,Corporation,White,Male Owned,Non-Veteran,,10,04/06/2020,Plains Commerce Bank,SD - 00
149482,CUSTER,SD,57730,236115,Corporation,Unanswered,Unanswered,Unanswered,,18,04/11/2020,First Interstate Bank,SD - 00
149300,ABERDEEN,SD,57401,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,27,04/05/2020,Dacotah Bank,SD - 00
149259,SIOUX FALLS,SD,57104,238910,Corporation,Unanswered,Unanswered,Unanswered,,92,04/08/2020,First PREMIER Bank,SD - 00
149200,SIOUX FALLS,SD,57104,423610,Subchapter S Corporation,White,Male Owned,Unanswered,,14,04/04/2020,CorTrust Bank National Association,SD - 00
149100,DELL RAPIDS,SD,57022,441120,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,11,04/06/2020,The First National Bank in Sioux Falls,SD - 00
149000,HURON,SD,57350,524210,Corporation,White,Female Owned,Unanswered,,9,04/27/2020,American Bank & Trust,SD - 00
149000,RAPID CITY,SD,57701,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,04/28/2020,Dacotah Bank,SD - 00
148900,MITCHELL,SD,57301,238220,Subchapter S Corporation,White,Male Owned,Non-Veteran,,17,04/10/2020,CorTrust Bank National Association,SD - 00
148837,BLACK HAWK,SD,57718,238220,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,10,04/28/2020,Black Hills FCU,SD - 00
148717,SIOUX FALLS,SD,57107,423220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,05/03/2020,"U.S. Bank, National Association",SD - 00
148700,BELLE FOURCHE,SD,57717,441110,Corporation,Unanswered,Unanswered,Unanswered,,15,04/03/2020,Pioneer Bank & Trust,SD - 00
148632,SIOUX FALLS,SD,57104,541110,Partnership,Unanswered,Unanswered,Unanswered,,9,04/08/2020,First PREMIER Bank,SD - 00
148500,MITCHELL,SD,57301,541940,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,18,04/03/2020,First Dakota National Bank,SD - 00
148400,WOONSOCKET,SD,57385,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/05/2020,Plains Commerce Bank,SD - 00
148400,SIOUX FALLS,SD,57104,238310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,16,04/08/2020,The First National Bank in Sioux Falls,SD - 00
148300,SUMMERSET,SD,57718,447110,Corporation,White,Male Owned,Non-Veteran,,29,04/04/2020,Black Hills FCU,SD - 00
148117,CHAMBERLAIN,SD,57325,721110,Corporation,Unanswered,Unanswered,Unanswered,,23,04/07/2020,First Dakota National Bank,SD - 00
148100,NORTH SIOUX CITY,SD,57049,423720,Corporation,Unanswered,Unanswered,Unanswered,,13,04/30/2020,First Dakota National Bank,SD - 00
