LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149982,RUTLAND,VT,05701,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,04/30/2020,"TD Bank, National Association",VT - 00
149700,SHELBURNE,VT,05482,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,05/22/2020,Union Bank,VT - 00
149400,MONTPELIER,VT,05602,621210,Corporation,White,Female Owned,Non-Veteran,,13,04/04/2020,Community National Bank,VT - 00
149400,BRATTLEBORO,VT,05301,611620,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,45,04/07/2020,The Brattleboro Savings & Loan Association,VT - 00
149300,BENNINGTON,VT,05201,238110,Corporation,Unanswered,Unanswered,Unanswered,,13,04/08/2020,The Bank of Bennington,VT - 00
149192,WATERBURY,VT,05676,236115,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,04/13/2020,"Community Bank, National Association",VT - 00
149054,WARREN,VT,05674,453998,Corporation,Unanswered,Female Owned,Unanswered,,27,04/14/2020,Northfield Savings Bank,VT - 00
149000,MIDDLEBURY,VT,05753,621111,Corporation,Unanswered,Female Owned,Unanswered,,12,04/06/2020,National Bank of Middlebury,VT - 00
149000,EAST THETFORD,VT,05043,454390,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,47,04/07/2020,Mascoma Bank,VT - 00
148700,COLCHESTER,VT,05446,445230,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20,04/10/2020,"People's United Bank, National Association",VT - 00
148600,NORWICH,VT,05055,442210,Corporation,Unanswered,Female Owned,Non-Veteran,,10,04/13/2020,Bar Harbor Bank & Trust,VT - 00
148562,BURLINGTON,VT,05401,624410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,04/27/2020,Vermont 504 Corporation,VT - 00
148537,SOUTH BURLINGTON,VT,05403,511210,Corporation,Unanswered,Unanswered,Unanswered,,0,04/27/2020,Vermont 504 Corporation,VT - 00
148267,BARRE,VT,05641,541110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,04/07/2020,Northfield Savings Bank,VT - 00
148200,WHITE RIVER JUNCTION,VT,05001,321991,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,16,04/06/2020,Mascoma Bank,VT - 00
148200,NORTH BENNINGTON,VT,05257,333517,Corporation,Unanswered,Male Owned,Non-Veteran,,12,04/08/2020,"People's United Bank, National Association",VT - 00
148000,MANCHESTER CENTER,VT,05255,238910,Corporation,White,Male Owned,Unanswered,,17,04/15/2020,The Bank of Bennington,VT - 00
147972,BARRE,VT,05641,621610,Subchapter S Corporation,White,Female Owned,Non-Veteran,,50,04/27/2020,Northfield Savings Bank,VT - 00
147910,SOUTH BURLINGTON,VT,05403,311812,Corporation,Unanswered,Unanswered,Unanswered,,26,04/28/2020,"Community Bank, National Association",VT - 00
147869,SHOREHAM,VT,05770,112120,Partnership,Unanswered,Unanswered,Unanswered,,15,04/27/2020,"	Yankee Farm Credit, ACA",VT - 00
147822,RUTLAND,VT,05701,721110,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,18,04/08/2020,"People's United Bank, National Association",VT - 00
147700,EAST DUMMERSTON,VT,05346,238310,Cooperative,Unanswered,Unanswered,Unanswered,,12,04/05/2020,"People's United Bank, National Association",VT - 00
147685,MIDDLEBURY,VT,05753,444210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,04/07/2020,"Community Bank, National Association",VT - 00
147639,ESSEX JUNCTION,VT,05452,621610,Corporation,Unanswered,Unanswered,Unanswered,,21,04/12/2020,"Community Bank, National Association",VT - 00
147600,BENNINGTON,VT,05201,541614,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/07/2020,Saratoga National Bank and Trust Company,VT - 00
147565,SOUTH BURLINGTON,VT,05403,238220,Subchapter S Corporation,White,Female Owned,Non-Veteran,,12,04/29/2020,Northfield Savings Bank,VT - 00
147500,BURLINGTON,VT,05401,327215,Corporation,White,Female Owned,Non-Veteran,,16,04/07/2020,Community National Bank,VT - 00
147500,COLCHESTER,VT,05446,454390,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,04/08/2020,"People's United Bank, National Association",VT - 00
147458,BROOKLINE,VT,05345,111334,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,83,04/27/2020,"	Yankee Farm Credit, ACA",VT - 00
147300,BARRE,VT,05641,332216,Corporation,Unanswered,Unanswered,Unanswered,,15,04/04/2020,Community National Bank,VT - 00
147300,WEST PAWLET,VT,05775,444220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,17,04/07/2020,"People's United Bank, National Association",VT - 00
147081,SHELBURNE,VT,05482,621340,Corporation,White,Female Owned,Non-Veteran,,0,04/28/2020,"NBT Bank, National Association",VT - 00
146900,SOUTH BURLINGTON,VT,05403,441120,Subchapter S Corporation,White,Male Owned,Non-Veteran,,13,04/03/2020,Peoples Trust Company of St. Albans,VT - 00
146900,LYNDONVILLE,VT,05851,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,0,04/06/2020,Passumpsic Savings Bank,VT - 00
146900,WILLISTON,VT,05495,484110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/07/2020,Union Bank,VT - 00
146800,MIDDLEBURY,VT,05753,541611,Subchapter S Corporation,White,Male Owned,Unanswered,,14,04/06/2020,National Bank of Middlebury,VT - 00
146750,MIDDLEBURY,VT,05753,722511,Corporation,Unanswered,Unanswered,Unanswered,,18,04/08/2020,National Bank of Middlebury,VT - 00
146500,LUDLOW,VT,05149,236118,Corporation,Unanswered,Unanswered,Unanswered,,12,04/06/2020,Heritage Family FCU,VT - 00
146250,WILLISTON,VT,05495,423920,Corporation,Unanswered,Unanswered,Unanswered,,,04/16/2020,"People's United Bank, National Association",VT - 00
146200,ESSEX JUNCTION,VT,05452,541110,Partnership,Unanswered,Unanswered,Unanswered,,17,04/10/2020,Northfield Savings Bank,VT - 00
146200,BENNINGTON,VT,05201,541110,Corporation,Unanswered,Unanswered,Unanswered,,11,04/06/2020,"People's United Bank, National Association",VT - 00
146100,BURLINGTON,VT,05401,541930,Non-Profit Organization,Black or African American,Male Owned,Non-Veteran,Y,17,04/07/2020,Opportunities CU,VT - 00
146000,BURLINGTON,VT,05401,445291,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,18,04/04/2020,Community National Bank,VT - 00
145925,RICHMOND,VT,05477,624410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38,04/29/2020,"NBT Bank, National Association",VT - 00
145900,MONTPELIER,VT,05602,813219,Non-Profit Organization,Unanswered,Female Owned,Unanswered,Y,9,04/06/2020,Community National Bank,VT - 00
145900,BARRE,VT,05641,323111,Subchapter S Corporation,White,Male Owned,Non-Veteran,,16,04/28/2020,Community National Bank,VT - 00
145700,MORRISVILLE,VT,05661,312120,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,10,04/04/2020,Community National Bank,VT - 00
145500,SOUTH BURLINGTON,VT,05403,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/10/2020,"People's United Bank, National Association",VT - 00
145500,MANCHESTER CENTER,VT,05255,813219,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,8,04/13/2020,Berkshire Bank,VT - 00
