LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149900,ST THOMAS,VI,00802,236115,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,20,05/15/2020,Merchants Commercial Bank,VI - 00
149082.5,CHRISTIANSTED,VI,00820,721110,Corporation,Unanswered,Male Owned,Non-Veteran,,18,04/14/2020,"United Fidelity Bank, FSB",VI - 00
148600,ST THOMAS,VI,00802,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,04/15/2020,Merchants Commercial Bank,VI - 00
148255,CHRISTIANSTED,VI,00820,446110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,16,04/13/2020,"United Fidelity Bank, FSB",VI - 00
147350,ST THOMAS,VI,00802,423740,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,04/15/2020,Merchants Commercial Bank,VI - 00
146782.64,ST JOHN,VI,00831,712190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,10,04/27/2020,FirstBank Puerto Rico,VI - 00
146447,KINGSHILL,VI,00851,441110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,13,04/28/2020,Merchants Commercial Bank,VI - 00
144740,ST THOMAS,VI,00802,541611,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,05/03/2020,Celtic Bank Corporation,VI - 00
144400,CHRISTIANSTED,VI,00820,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,33,04/27/2020,Greater Nevada CU,VI - 00
144226.84,CHRISTIANSTED,VI,00820,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,27,05/01/2020,FirstBank Puerto Rico,VI - 00
142900,CHARLOTTE AMALIE,VI,00802,445110,Corporation,Unanswered,Unanswered,Unanswered,,36,04/28/2020,Banco Popular de Puerto Rico,VI - 00
142700,ST THOMAS,VI,00802,423420,Corporation,Unanswered,Male Owned,Unanswered,,8,04/14/2020,Merchants Commercial Bank,VI - 00
141817.5,CHRISTIANSTED,VI,00821,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,04/27/2020,"United Fidelity Bank, FSB",VI - 00
140949.27,CHRISTIANSTED,VI,00820,532310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,21,04/14/2020,FirstBank Puerto Rico,VI - 00
140900,CHARLOTTE AMALIE,VI,00802,561612,Corporation,Unanswered,Unanswered,Unanswered,,62,04/30/2020,Banco Popular de Puerto Rico,VI - 00
140431.57,ST JOHN,VI,00830,447110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,04/30/2020,FirstBank Puerto Rico,VI - 00
140300,CHARLOTTE AMALIE,VI,00802,813990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,04/28/2020,Banco Popular de Puerto Rico,VI - 00
139940,ST. THOMAS,VI,00802,532412,Corporation,Unanswered,Male Owned,Non-Veteran,,25,04/27/2020,FirstBank Puerto Rico,VI - 00
139600,CHRISTIANSTED,VI,00820,531312,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,04/15/2020,Oriental Bank,VI - 00
139200,ST THOMAS,VI,00802,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,30,05/01/2020,Banco Popular de Puerto Rico,VI - 00
139100,CHRISTIANSTED,VI,00820,423930,Partnership,Unanswered,Unanswered,Non-Veteran,,12,04/15/2020,Oriental Bank,VI - 00
138840,ST THOMAS,VI,00802,541310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,04/29/2020,Merchants Commercial Bank,VI - 00
138635,ST CROIX,VI,00820,236220,Corporation,Unanswered,Unanswered,Unanswered,,20,04/27/2020,FirstBank Puerto Rico,VI - 00
133700,CHRISTIANSTED,VI,00820,541611,Corporation,Unanswered,Male Owned,Unanswered,,28,05/11/2020,Oriental Bank,VI - 00
133345.69,CHRISTIANSTED,VI,00820,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,17,04/28/2020,FirstBank Puerto Rico,VI - 00
133277,ST THOMAS,VI,00802,424490,Corporation,Unanswered,Unanswered,Unanswered,,24,05/01/2020,FirstBank Puerto Rico,VI - 00
133200,ST THOMAS,VI,00802,441310,Corporation,Unanswered,Unanswered,Unanswered,,20,04/28/2020,Oriental Bank,VI - 00
133200,ST THOMAS,VI,00802,448310,Corporation,Unanswered,Male Owned,Unanswered,,18,05/01/2020,Banco Popular de Puerto Rico,VI - 00
131990,ST THOMAS,VI,00802,532490,Corporation,Unanswered,Unanswered,Unanswered,,11,04/15/2020,FirstBank Puerto Rico,VI - 00
131947.02,ST JOHN,VI,00831,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,05/08/2020,FirstBank Puerto Rico,VI - 00
131857,SAINT THOMAS,VI,00802,424490,Corporation,Unanswered,Unanswered,Unanswered,,11,04/27/2020,FirstBank Puerto Rico,VI - 00
131500,CHARLOTTE AMALIE,VI,00802,621210,Corporation,Unanswered,Male Owned,Non-Veteran,,15,04/27/2020,Banco Popular de Puerto Rico,VI - 00
