LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
149965,BELMONT,WV,26134,531311,Corporation,Unanswered,Male Owned,Unanswered,,34,05/13/2020,Benworth Capital,WV - 01
149900,MORGANTOWN,WV,26505,621210,Corporation,Unanswered,Unanswered,Unanswered,,15,04/05/2020,First United Bank & Trust,WV - 01
149875,ST MARYS,WV,26170,446110,Corporation,Unanswered,Unanswered,Unanswered,,12,04/15/2020,"Union Bank, Inc.",WV - 01
149755,WILLIAMSTOWN,WV,26187,444190,Corporation,Unanswered,Unanswered,Unanswered,,15,04/09/2020,"WesBanco Bank, Inc.",WV - 01
149700,RONCEVERTE,WV,24970,624310,Corporation,Unanswered,Unanswered,Unanswered,,53,04/27/2020,"Premier Bank, Inc.",WV - 03
149697.5,ELEANOR,WV,25070,238320,Corporation,Unanswered,Male Owned,Unanswered,,10,04/15/2020,City National Bank of West Virginia,WV - 02
149600,VIENNA,WV,26105,621610,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30,04/14/2020,United Bank,WV - 01
149585,WHEELING,WV,26003,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,04/16/2020,Main Street Bank Corp.,WV - 01
149403.5,CHARLESTON,WV,25304,813110,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,25,04/28/2020,"WesBanco Bank, Inc.",WV - 02
149400,CHARLESTON,WV,25304,722511,Subchapter S Corporation,Hispanic,Male Owned,Non-Veteran,,5,04/08/2020,Peoples Bank,WV - 02
149300,CHARLESTON,WV,25301,213111,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,0,04/07/2020,"Premier Bank, Inc.",WV - 02
149255,CLARKSBURG,WV,26301,236220,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,11,04/13/2020,The Huntington National Bank,WV - 01
149200,WHEELING,WV,26003,621111,Professional Association,Unanswered,Unanswered,Unanswered,,14,04/10/2020,Truist Bank d/b/a Branch Banking & Trust Co,WV - 01
149105,WELLSBURG,WV,26070,524126,Corporation,Unanswered,Unanswered,Unanswered,,13,04/28/2020,"WesBanco Bank, Inc.",WV - 01
149065,WHEELING,WV,26003,523930,Corporation,White,Male Owned,Non-Veteran,,20,04/11/2020,"WesBanco Bank, Inc.",WV - 01
149000,MORGANTOWN,WV,26508,541110,Corporation,White,Male Owned,Unanswered,,10,04/06/2020,Clear Mountain Bank,WV - 01
149000,BRIDGEPORT,WV,26330,423520,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,10,04/09/2020,Clear Mountain Bank,WV - 01
148900,NITRO,WV,25143,484230,Corporation,Unanswered,Unanswered,Unanswered,,13,04/09/2020,The Huntington National Bank,WV - 02
148900,KEARNEYSVILLE,WV,25430,221310,Corporation,Unanswered,Male Owned,Non-Veteran,,16,04/09/2020,City National Bank of West Virginia,WV - 02
148800,EDMOND,WV,25837,722513,Corporation,Unanswered,Male Owned,Unanswered,,0,04/28/2020,"Pendleton Community Bank, Inc.",WV - 03
148700,BECKLEY,WV,25801,327215,Corporation,Unanswered,Unanswered,Unanswered,,16,04/09/2020,Truist Bank d/b/a Branch Banking & Trust Co,WV - 03
148700,LEWISBURG,WV,24901,713990,Non-Profit Organization,White,Female Owned,Non-Veteran,Y,8,04/06/2020,"Premier Bank, Inc.",WV - 03
